del_avg_size	del_count	file	gap_freq	gaps_per_seq	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
5.5	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/11095530-376911-40-subtree-replicated.fa	0.0104938271604938	1.88888888888889	0	0	180	9	0.738888888888889	43147,57175,43777,255237,9598,9597,43780,164648,70927
19	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/109723017-314293-531-subtree-replicated.fa	0.0381418092909535	15.6	8	1	409	5	0.975550122249389	9483,343908,864580,255237,101278
2	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/100290422-9443-1498-subtree-replicated.fa	0.00285632676378178	1.11111111111111	0	0	389	9	0.93573264781491	9593,60711,81572,9531,57176,70825,198627,208091,9555
21	8	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/11275634-9526-445-subtree-replicated.fa	0.147775423728814	52.3125	25	2	354	16	0.929378531073446	867377,30589,9470,554167,261732,543559,9508,1126382,342807,9541,40843,61621,224329,66062,371039,47180
10	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/110611710-9526-831-subtree-replicated.fa	0.0433145009416196	7.66666666666667	2	1	177	6	0.949152542372881	867332,70927,356666,174599,122246,291259
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114223843-122245-2-subtree-replicated.fa	0	0	0	0	563	5	0.928952042628774	90384,54600,9551,9542,90383
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114224928-376913-650-subtree-replicated.fa	0	0	0	0	609	2	0.981937602627258	1309628,9525
5	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/100290544-9526-610-subtree-replicated.fa	0.00588111741230834	3.11111111111111	0	0	529	9	0.969754253308129	9593,60711,81572,9531,57176,70825,198627,208091,9555
1.5	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/100290484-9526-608-subtree-replicated.fa	0.0143769968051118	9	3	3	626	9	0.779552715654952	9593,60711,81572,9531,57176,70825,198627,208091,9555
46	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/112443169-9528-109-subtree-replicated.fa	0.228869895536562	160.666666666667	109	2	702	3	0.982905982905983	90385,9551,81572
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/100290566-9569-91-subtree-replicated.fa	0.00320056899004267	2.25	3	1	703	4	0.975817923186344	1309626,101278,9536,122232
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/11065801-9526-446-subtree-replicated.fa	0.221330956625074	87.6470588235294	35.5	3	396	17	0.957070707070707	9490,9493,548481,75569,34830,9593,36225,78452,767357,9548,90384,9495,339999,122223,867332,9523,30602
2	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/100290459-9526-607-subtree-replicated.fa	0.0299490865528601	22.2222222222222	9	3	742	9	0.901617250673854	9593,60711,81572,9531,57176,70825,198627,208091,9555
6	15	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/100290397-314293-948-subtree-replicated.fa	0.0418994413407821	37.5	3	3	895	2	0.950837988826816	30611,752538
11.1818181818182	13	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114224873-9533-15-subtree-replicated.fa	0.151950718685832	74	8.2	6	487	3	0.765913757700205	1090896,9478,1309628
3.75	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/100290437-9526-606-subtree-replicated.fa	0.0735828877005348	62.5454545454545	23.6666666666667	5	850	11	0.909411764705882	693984,9531,554167,290597,36228,78452,90385,70825,198627,208091,9555
3	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/112443169-314293-272-subtree-replicated.fa	0.425623993558776	352.416666666667	382	1	828	12	0.929951690821256	230653,57176,9505,30591,61621,224329,1194336,122248,36228,147649,9534,70927
12	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114224906-9533-17-subtree-replicated.fa	0.0243628185907046	16.25	0	0	667	4	0.808095952023988	182256,1309628,230653,291259
6.5	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114224907-9533-169-subtree-replicated.fa	0.00855654761904762	5.75	0	0	672	4	0.974702380952381	182256,1309628,230653,291259
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225005-376913-653-subtree-replicated.fa	0	0	0	0	690	2	0.994202898550725	1309628,9525
36	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225014-9528-266-subtree-replicated.fa	0.156726768377254	113	31.6666666666667	3	721	2	0.991678224687933	1309628,9525
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225100-9533-22-subtree-replicated.fa	0.0613738738738739	36.3333333333333	25.5	3	592	3	0.935810810810811	1090896,9478,1309628
20.5	10	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114224988-314293-575-subtree-replicated.fa	0.0788253477588872	51	0	0	647	4	0.89644513137558	43777,543559,9478,1309628
1	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225256-376913-585-subtree-replicated.fa	0.00473484848484848	1.25	1	1	264	4	0.977272727272727	182256,1309628,230653,291259
28.7142857142857	11	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225018-9528-165-subtree-replicated.fa	0.161337209302326	111	0	0	688	4	0.943313953488372	43777,543559,9478,1309628
5	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225038-314294-268-subtree-replicated.fa	0.0078740157480315	5	0	0	635	2	0.993700787401575	1309628,9525
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/115606173-9479-108-subtree-replicated.fa	0	0	0	0	199	8	0.949748743718593	486960,1215604,9557,342807,78454,143352,343908,143351
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/115371785-9526-1000-subtree-replicated.fa	0	0	0	0	270	7	0.874074074074074	182256,208091,9593,60711,81572,9531,57176
107	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/11065802-314293-442-subtree-replicated.fa	0.492714025500911	360.666666666667	334	1	732	18	0.972677595628415	9447,867334,221704,30602,9598,9597,37295,122231,343908,9590,81572,75569,100487,292213,57374,9538,9551,90383
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/117627056-9443-23-subtree-replicated.fa	0	0	0	0	292	6	0.958904109589041	9606,36223,9600,9491,37295,1131379
1.5	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225222-314293-583-subtree-replicated.fa	0.0928085519922254	63.6666666666667	46.5	2	686	3	0.93731778425656	1090896,9478,1309628
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/117627067-9445-25-subtree-replicated.fa	0	0	0	0	244	8	0.971311475409836	9593,9510,356665,222416,70927,9525,9557,310932
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/117627038-9445-24-subtree-replicated.fa	0	0	0	0	292	8	0.993150684931507	9593,9510,356665,222416,70927,9525,9557,310932
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/117627056-9527-201-subtree-replicated.fa	0	0	0	0	292	9	0.979452054794521	261732,132108,9460,9601,9495,43780,9598,70825,198627
4.4	10	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225232-9527-174-subtree-replicated.fa	0.0245253164556962	15.5	0	0	632	4	0.814873417721519	43777,543559,9478,1309628
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/117627087-314293-374-subtree-replicated.fa	0	0	0	0	283	6	0.773851590106007	9606,36223,9600,9491,37295,1131379
10	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/116743760-9604-63-subtree-replicated.fa	0.00922659430122117	6.8	1	1	737	5	0.970149253731343	402888,9552,9463,342401,27679
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/118185706-13149-10-subtree-replicated.fa	0	0	0	0	307	3	0.817589576547231	90384,54600,9551
23	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/1174280-314295-217-subtree-replicated.fa	0.0549915397631134	21.6666666666667	0	0	394	6	0.720812182741117	36228,147649,34830,30598,595220,208091
21.4285714285714	11	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225046-9527-188-subtree-replicated.fa	0.0534665099882491	45.5	0	0	851	6	0.914218566392479	230833,9478,1309628,9600,1090896,54600
12	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114225252-314294-270-subtree-replicated.fa	0.0278113663845224	23	11	1	827	2	0.966142684401451	1309628,9525
13.5	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/116743722-9604-61-subtree-replicated.fa	0.00705882352941176	5.4	0	0	765	5	0.977777777777778	43777,57377,412750,122232,143352
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/117627087-9527-202-subtree-replicated.fa	0	0	0	0	283	9	0.978798586572438	261732,132108,9460,9601,9495,43780,9598,70825,198627
58	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/116743710-207598-114-subtree-replicated.fa	0.027496757457847	21.2	6	2	771	5	0.993514915693904	43777,57377,412750,122232,143352
147	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/11065798-9526-443-subtree-replicated.fa	0.113883557261676	178	2	1	1563	5	0.833653230966091	122222,208091,9508,78454,143283
3.25	7	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/116743803-9604-65-subtree-replicated.fa	0.00921787709497207	6.6	0	0	716	5	0.952513966480447	402888,9552,9463,342401,27679
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/119567651-9481-46-subtree-replicated.fa	0	0	0	0	599	4	0.996661101836394	182256,1309628,230653,291259
17.3333333333333	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/116743824-9604-66-subtree-replicated.fa	0.0178010471204188	13.6	0	0	764	5	0.976439790575916	402888,9552,9463,342401,27679
64.4	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/114224873-9526-90-subtree-replicated.fa	0.536073423782921	191.914285714286	0	0	358	35	0.824022346368715	122223,230833,70814,34828,859983,30596,9557,1309630,867382,122231,48842,198702,9493,1127763,752538,593543,1126382,54133,9530,75569,255237,9589,81572,147650,36223,60711,9600,9505,57374,222416,1194336,9538,9540,9552,40843
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-6/118480628-314295-416-subtree-replicated.fa	0	0	0	0	453	10	0.971302428256071	37588,9516,47177,867382,693984,9606,9538,30598,595220,1309628
