del_avg_size	del_count	file	gap_freq	gaps_per_seq	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/110611710-9526-831-subtree-replicated.fa	0	0	0	0	177	11	0.943502824858757	57176,9505,1309634,61622,121123,222416,30611,122248,867382,88029,90381
1	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/11275634-542827-6-subtree-replicated.fa	0.00314465408805031	1	0	0	318	4	0.99685534591195	57377,867363,9447,13557
12	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/11095530-376911-40-subtree-replicated.fa	0.073015873015873	13.1428571428571	0	0	180	14	0.733333333333333	9472,100487,36228,147649,9534,9606,34825,989338,543559,379532,83281,13515,36231,224329
19.3333333333333	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/109723017-314293-531-subtree-replicated.fa	0.0963144963144963	39.2	29	1	407	5	0.97051597051597	13557,292213,9521,54602,13514
2.5	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/100290422-9443-1498-subtree-replicated.fa	0.0110172603745869	4.28571428571429	0	0	389	7	0.951156812339332	60711,57377,867363,33548,9572,9447,13557
3	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/112443169-314293-272-subtree-replicated.fa	0.014103982300885	6.375	6	1	452	8	0.878318584070796	356666,548481,61852,9600,90382,33548,9514,30591
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/11065801-9526-446-subtree-replicated.fa	0.0730769230769231	23.75	25	1	325	20	0.96	174599,129801,43780,9556,37588,58710,230833,70814,54133,343908,236274,310934,310932,61853,34830,36223,9551,9545,90382,9544
9	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/114224808-314293-572-subtree-replicated.fa	0.069467787114846	41.3333333333333	26.5	2	595	3	0.974789915966387	90384,9455,9478
3	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/100290544-9526-610-subtree-replicated.fa	0.000810153929246557	0.428571428571429	0	0	529	7	0.962192816635161	60711,57377,867363,33548,9572,9447,13557
12.5	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/100290484-9526-608-subtree-replicated.fa	0.0228110599078341	14.1428571428571	2	2	620	7	0.787096774193548	60711,57377,867363,33548,9572,9447,13557
1.5	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/100290459-9526-607-subtree-replicated.fa	0.0560224089635855	42.8571428571429	7.25	7	765	7	0.901960784313726	60711,57377,867363,33548,9572,9447,13557
9	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/100290566-9569-91-subtree-replicated.fa	0.00731558626295468	5.14285714285714	3	1	703	7	0.968705547652916	9509,66062,9588,9565,373033,36225,9600
3	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/100290437-9526-606-subtree-replicated.fa	0.0684848484848485	56.5	31.5	2	825	8	0.92	867332,70814,230833,57375,143351,122222,261739,1126382
2.75	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/11275634-9526-445-subtree-replicated.fa	0.213028764805415	83.9333333333333	45	2	394	15	0.923857868020305	9478,37293,1309635,224329,43778,356665,867363,52232,143354,543559,9470,111173,60711,9552,33548
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/114225035-9528-267-subtree-replicated.fa	0.00200803212851406	0.5	0	0	249	2	0.995983935742972	9455,9478
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/114223843-122245-2-subtree-replicated.fa	0	0	0	0	563	5	0.934280639431616	90384,54600,9551,9542,90383
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/114225164-9528-273-subtree-replicated.fa	0	0	0	0	221	2	0.990950226244344	9455,9478
6.5	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/114224907-9533-169-subtree-replicated.fa	0.0226934523809524	15.25	0	0	672	4	0.982142857142857	57377,867363,9447,13557
9	7	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/114224906-9533-17-subtree-replicated.fa	0.0350746268656716	23.5	0	0	670	4	0.81044776119403	57377,867363,9447,13557
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-10/114224928-376913-650-subtree-replicated.fa	0.00558292282430213	3.4	4	1	609	5	0.970443349753695	36228,1194336,121123,208091,122246
