del_avg_size	del_count	file	gap_freq	gaps_per_seq	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
3.5	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/11095530-376911-40-subtree-replicated.fa	0.0145833333333333	2.625	0	0	180	8	0.761111111111111	9447,122222,867377,13557,122223,9525,34829,859983
7.33333333333333	4	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/110611710-9526-831-subtree-replicated.fa	0.0599250936329588	10.6666666666667	0	0	178	3	0.943820224719101	9590,100487,9472
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/11275634-542827-6-subtree-replicated.fa	0	0	0	0	318	2	1	9561,9525
18.6	7	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/109723017-314293-531-subtree-replicated.fa	0.108108108108108	44	0	0	407	4	0.972972972972973	37293,100937,9588,310934
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/114223843-122245-2-subtree-replicated.fa	0	0	0	0	563	5	0.934280639431616	90384,54600,9551,9542,90383
3.5	8	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/100290422-9443-1498-subtree-replicated.fa	0.0132207124495042	5.14285714285714	0	0	389	7	0.946015424164524	310934,9455,100487,1127763,9544,30589,1309625
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/100290566-9569-91-subtree-replicated.fa	0.00284495021337127	2	3	1	703	6	0.963015647226173	54133,9534,143352,343908,78451,9508
5	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/100290544-9526-610-subtree-replicated.fa	0.00404312668463612	2.14285714285714	1	1	530	7	0.971698113207547	310934,9455,100487,1127763,9544,30589,1309625
8.4	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/100290484-9526-608-subtree-replicated.fa	0.0231970601745521	14.4285714285714	1.5	2	622	7	0.77491961414791	310934,9455,100487,1127763,9544,30589,1309625
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/11065801-9526-446-subtree-replicated.fa	0	0	0	0	300	17	0.943333333333333	13557,9555,70825,30601,543559,9586,81572,9455,75569,261736,752538,36227,60711,867363,9552,66062,61622
35.0833333333333	17	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-3/114224873-9533-15-subtree-replicated.fa	0.456743002544529	239.333333333333	13.6666666666667	4	524	3	0.906488549618321	90384,54600,9551
