del_avg_size	del_count	file	gap_freq	gaps_per_seq	ins_avg_size	ins_count	nchar	ntax	prop_invar	species
6.33333333333333	7	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/110611710-9526-831-subtree-replicated.fa	0.0415890751086282	7.44444444444444	1	2	179	9	0.949720670391061	693984,9508,593543,290597,342807,70825,198627,121123,30589
12	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/11095530-376911-40-subtree-replicated.fa	0.032716049382716	5.88888888888889	0	0	180	9	0.772222222222222	13514,13515,43777,9507,9478,662464,61621,9572,70927
3.5	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/100290422-9443-1498-subtree-replicated.fa	0.0171379605826907	6.66666666666667	2	2	389	3	0.958868894601542	9606,70927,9525
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/100290544-9526-610-subtree-replicated.fa	0.00440251572327044	2.33333333333333	3	1	530	3	0.977358490566038	9606,70927,9525
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/11275634-542827-6-subtree-replicated.fa	0	0	0	0	318	5	0.99685534591195	9541,310932,9507,867332,208091
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/11065801-9526-446-subtree-replicated.fa	0.126904887020494	43.9090909090909	46	1	346	22	0.956647398843931	9478,9468,30596,164648,122223,208091,37293,9536,402239,143352,236275,30601,57378,57375,52232,342807,88029,9551,9542,9495,9538,34828
34.5	7	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/109723017-314293-531-subtree-replicated.fa	0.0779220779220779	31.7142857142857	0	0	407	7	0.960687960687961	9590,61851,43778,9606,52231,9495,30590
8.75	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/100290484-9526-608-subtree-replicated.fa	0.0198285101822079	12.3333333333333	0	0	622	3	0.79903536977492	9606,70927,9525
66.5	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/112443169-314293-272-subtree-replicated.fa	0.155420353982301	70.25	6	1	452	4	0.884955752212389	9483,83281,310352,70928
4.5	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/100290459-9526-607-subtree-replicated.fa	0.0129449838187702	9.33333333333333	3	3	721	3	0.927877947295423	9606,70927,9525
20.75	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/100290437-9526-606-subtree-replicated.fa	0.0226579520697168	17.3333333333333	1	2	765	6	0.899346405228758	261736,70927,9525,859983,78454,9515
45.3333333333333	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/11275634-9526-445-subtree-replicated.fa	0.193890120719389	71.5454545454545	65	1	369	11	0.926829268292683	13557,221704,1309628,9515,415757,864580,236274,9590,129801,9465,57378
9	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/100290566-9569-91-subtree-replicated.fa	0.0152327221438646	10.8	3	3	709	5	0.970380818053597	9541,310932,9507,867332,208091
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225035-9528-267-subtree-replicated.fa	0	0	0	0	249	2	1	261739,60711
28	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/112443169-9528-109-subtree-replicated.fa	0.0821917808219178	60	46	1	730	2	0.991780821917808	57375,989338
80.5	7	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114224808-314293-572-subtree-replicated.fa	0.161936560934891	97	0	0	599	5	0.973288814691152	9541,9507,261739,60711,208091
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114223843-122245-2-subtree-replicated.fa	0.000355239786856128	0.2	0	0	563	5	0.927175843694494	90384,54600,9551,9542,90383
13.25	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/100290397-314293-948-subtree-replicated.fa	0.0168918918918919	15	2	2	888	5	0.900900900900901	867333,499232,54602,9587,9490
2.5	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114224928-376913-650-subtree-replicated.fa	0.00361842105263158	2.2	0	0	608	5	0.972039473684211	9541,310932,9507,867332,208091
1	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225164-9528-273-subtree-replicated.fa	0.000904977375565611	0.2	0	0	221	5	0.986425339366516	9541,9507,261739,60711,208091
10	1	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114224907-9533-169-subtree-replicated.fa	0.00297619047619048	2	0	0	672	5	0.983630952380952	9541,310932,9507,867332,208091
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/10442522-9462-14-subtree-replicated.fa	0.119418619876915	130.285714285714	152	1	1091	7	0.997250229147571	9519,356665,100487,143354,548481,1309630,70825
20.9090909090909	11	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114224873-9533-15-subtree-replicated.fa	0.140548915449314	70.5555555555556	12	4	502	9	0.731075697211155	9597,867363,52231,30609,54601,70825,198627,121123,30589
2	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225005-376913-653-subtree-replicated.fa	0.00173913043478261	1.2	0	0	690	5	0.972463768115942	9541,310932,9507,867332,208091
28.6666666666667	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225014-9528-266-subtree-replicated.fa	0.0438280166435506	31.6	0	0	721	5	0.981969486823856	9541,310932,9507,867332,208091
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225256-376913-585-subtree-replicated.fa	0	0	0	0	263	5	0.977186311787072	9541,310932,9507,867332,208091
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/115371785-9526-1000-subtree-replicated.fa	0	0	0	0	270	5	0.903703703703704	9541,310932,9507,867332,208091
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225038-314294-268-subtree-replicated.fa	0.0110236220472441	7	5	2	635	5	0.98740157480315	9541,310932,9507,867332,208091
23	7	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114224906-9533-17-subtree-replicated.fa	0.04047976011994	27	0	0	667	8	0.793103448275862	13514,13515,859983,30598,595220,662464,70927,164648
11	10	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114224988-314293-575-subtree-replicated.fa	0.0542890262751159	35.125	7	1	647	8	0.8887171561051	693984,9508,593543,290597,342807,70825,121123,30589
3	3	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225203-9533-45-subtree-replicated.fa	0.00311418685121107	1.8	0	0	578	5	0.98961937716263	9541,9507,261739,60711,208091
19.6666666666667	7	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225018-9528-165-subtree-replicated.fa	0.0635036496350365	43.5	7.5	2	685	8	0.944525547445256	693984,9508,593543,290597,342807,70825,121123,30589
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/115606173-9479-108-subtree-replicated.fa	0	0	0	0	199	12	0.934673366834171	122222,9557,310352,9468,1309630,75569,36225,236274,543559,81572,666519,48842
14.5	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225100-9533-22-subtree-replicated.fa	0.0428221090360309	25.2222222222222	0	0	589	9	0.918505942275042	9597,867363,52231,30609,54601,70825,198627,121123,30589
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/117627038-9445-24-subtree-replicated.fa	0	0	0	0	292	5	0.993150684931507	9541,9507,261739,60711,208091
4	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225210-9528-274-subtree-replicated.fa	0.00342368045649073	2.4	1	1	701	5	0.807417974322397	9541,9507,261739,60711,208091
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/117627067-9445-25-subtree-replicated.fa	0	0	0	0	244	5	0.963114754098361	9541,9507,261739,60711,208091
0	0	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/117627056-9443-23-subtree-replicated.fa	0	0	0	0	292	5	0.952054794520548	122223,9468,310932,9586,9534
29	2	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/11065802-314293-442-subtree-replicated.fa	0.573733583489681	611.6	334	2	1066	20	0.956848030018762	261736,867333,230833,9557,208091,9521,662464,33548,9588,693984,143351,465717,867382,75566,57375,402888,90381,9551,9538,9601
2.33333333333333	5	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225232-9527-174-subtree-replicated.fa	0.0165354330708661	10.5	5.5	2	635	8	0.806299212598425	693984,9508,593543,290597,342807,70825,121123,30589
24	6	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/114225222-314293-583-subtree-replicated.fa	0.0172694688823721	11.7777777777778	0	0	682	9	0.919354838709677	693984,9508,593543,290597,342807,70825,198627,121123,30589
16.3333333333333	8	/gulo/glob/hannesh/git/phylo-primates-sim/results/2015-11-10-sim-5/10945331-9577-88-subtree-replicated.fa	0.0388657545112036	65.3333333333333	9	4	1681	3	0.657941701368233	90384,54600,9551
